jobNumber,StartTime,EndTime,JobLength,ElapsedTime
539,1/1/2020 12:00:00 AM,1/1/2020 1:26:21 AM,5090,5181,1480
216,1/1/2020 12:00:00 AM,1/1/2020 1:26:32 AM,4902,5192,515
495,1/1/2020 12:00:00 AM,1/1/2020 1:27:20 AM,5126,5240,1319
642,1/1/2020 12:00:00 AM,1/1/2020 1:27:38 AM,4806,5258,1891
420,1/1/2020 12:00:00 AM,1/1/2020 1:27:44 AM,5056,5264,1082
163,1/1/2020 12:00:00 AM,1/1/2020 1:27:52 AM,5195,5272,386
630,1/1/2020 12:00:00 AM,1/1/2020 1:27:52 AM,5195,5272,1834
240,1/1/2020 12:00:00 AM,1/1/2020 1:28:02 AM,5144,5282,572
162,1/1/2020 12:00:00 AM,1/1/2020 1:29:02 AM,5237,5342,384
380,1/1/2020 12:00:00 AM,1/1/2020 1:30:01 AM,5007,5401,954
457,1/1/2020 12:00:00 AM,1/1/2020 1:30:03 AM,5087,5403,1193
498,1/1/2020 12:00:00 AM,1/1/2020 1:30:12 AM,5240,5412,1326
483,1/1/2020 12:00:00 AM,1/1/2020 1:30:17 AM,5205,5417,1280
294,1/1/2020 12:00:00 AM,1/1/2020 1:30:33 AM,5335,5433,716
174,1/1/2020 12:00:00 AM,1/1/2020 1:30:46 AM,5082,5446,409
203,1/1/2020 12:00:00 AM,1/1/2020 1:31:36 AM,5071,5496,485
57,1/1/2020 12:00:00 AM,1/1/2020 1:31:49 AM,5124,5509,132
196,1/1/2020 12:00:00 AM,1/1/2020 1:32:13 AM,4846,5533,465
79,1/1/2020 12:00:00 AM,1/1/2020 1:33:00 AM,5282,5580,184
662,1/1/2020 12:00:00 AM,1/1/2020 1:33:12 AM,5318,5592,1999
468,1/1/2020 12:00:00 AM,1/1/2020 1:33:15 AM,5056,5595,1230
260,1/1/2020 12:00:00 AM,1/1/2020 1:33:35 AM,5522,5615,625
718,1/1/2020 12:00:00 AM,1/1/2020 1:35:58 AM,5453,5758,2307
492,1/1/2020 12:00:00 AM,1/1/2020 1:36:08 AM,5614,5768,1304
527,1/1/2020 12:00:00 AM,1/1/2020 1:36:21 AM,5494,5781,1439
